title,console,alcohol_reference,animated_blood,blood,blood_and_gore,cartoon_violence,crude_humor,drug_reference,fantasy_violence,intense_violence,language,mild_blood,mild_cartoon_violence,mild_fantasy_violence,mild_language,mild_lyrics,mild_suggestive_themes,mild_violence,nudity,sexual_content,sexual_themes,simulated_gambling,strong_language,strong_sexual_content,suggestive_themes,use_of_alcohol,use_of_drugs_and_alcohol,violence,esrb_rating
Yars Rising,"PlayStation 5, Nintendo Switch",0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,ET
STAR WARS™: Bounty Hunter™,"PlayStation 5, Nintendo Switch, Xbox Series",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,T
Tomb Raider I-III Remastered Starring Lara Croft,"Xbox One, Xbox Series",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,T
Mad Bullets,Nintendo Switch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,T
Raiden NOVA,"PlayStation 5, Nintendo Switch",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET
Gimmick! 2,"PlayStation 5, Nintendo Switch",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
Turbo Boost Racing,Nintendo Switch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
Castlevania Dominus Collection,"Windows PC, PlayStation 5, Nintendo Switch, Xbox Series",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,T
A Little to the Left,"Macintosh, Windows PC, Nintendo Switch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
Rick Henderson,PlayStation 5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET
Yars Rising,"PlayStation 5, Nintendo Switch",0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,ET
STAR WARS™: Bounty Hunter™,"PlayStation 5, Nintendo Switch, Xbox Series",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,T
Tomb Raider I-III Remastered Starring Lara Croft,"Xbox One, Xbox Series",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,T
Mad Bullets,Nintendo Switch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,T
Raiden NOVA,"PlayStation 5, Nintendo Switch",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET
Gimmick! 2,"PlayStation 5, Nintendo Switch",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
Turbo Boost Racing,Nintendo Switch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
Castlevania Dominus Collection,"Windows PC, PlayStation 5, Nintendo Switch, Xbox Series",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,T
A Little to the Left,"Macintosh, Windows PC, Nintendo Switch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
Rick Henderson,PlayStation 5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET
Asteroids Deluxe,Atari 7800,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
In Stars and Time,"PlayStation 4, PlayStation 5, Nintendo Switch",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,T
Totally Spies! - Cyber Mission,"PlayStation 4, PlayStation 5, Nintendo Switch",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
Touhou Spell Carnival,"PlayStation 4, PlayStation 5, Nintendo Switch",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET
Amerzone - The Explorer's Legacy,"PlayStation 5, Xbox Series",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,T
Bounty Bob Strikes Back!,Atari 7800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
Wizardry: Proving Grounds of the Mad Overlord,"PlayStation 5, Nintendo Switch",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T
Cat Quest III,"PlayStation 5, Nintendo Switch",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET
Shadow of the Ninja - Reborn,"PlayStation 5, Nintendo Switch",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T
WitchSpring R,"PlayStation 5, Nintendo Switch",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET
Ys Memoire: The Oath in Felghana,"PlayStation 5, Nintendo Switch",0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,T
Ys Memoire: The Oath in Felghana 'Refined Edition',"PlayStation 5, Nintendo Switch",0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,T
